Supplier,SKU_ID,SKU_Category,Defect_Rate_PPM,Lead_Time_Variance_Days,Price_Volatility_Pct
Crestline Components,SKU-00267,Body & Chassis,50.3,3.7,1.47
Falcon Wiring Harness,SKU-00210,Exhaust Systems,48.4,1.47,1.96
NorthStar Exhaust Systems,SKU-00484,Exhaust Systems,36.7,3.1,1.66
Silverline Plastics,SKU-00117,Engine Components,57.1,2.25,1.68
Atlas Suspension Ltd,SKU-00210,Exhaust Systems,30.0,2.75,2.92
Orion Chassis Works,SKU-00441,Sensors,48.3,4.74,3.34
Vanguard Brake Systems,SKU-00329,Electrical Systems,41.3,2.18,2.58
Atlas Suspension Ltd,SKU-00208,Sensors,34.9,3.67,2.49
Horizon Interior Trim,SKU-00134,Interior Trim,48.1,3.19,3.58
IronClad Metal Works,SKU-00019,Fasteners,47.1,15.49,3.41
Volt Precision Parts,SKU-00045,Engine Components,363.2,2.18,2.2
Orion Chassis Works,SKU-00085,Suspension,47.3,2.86,1.11
Orion Chassis Works,SKU-00410,Engine Components,26.5,1.61,1.43
Orion Chassis Works,SKU-00333,Transmission Parts,37.3,3.13,2.06
Apex Drivetrain Solutions,SKU-00226,Transmission Parts,187.9,7.33,1.83
Vanguard Brake Systems,SKU-00408,Electrical Systems,52.0,3.09,1.62
Meridian Electronics,SKU-00084,Fasteners,46.9,4.7,2.19
Granite Bearing Co,SKU-00110,Exhaust Systems,36.7,2.33,2.27
Silverline Plastics,SKU-00205,Body & Chassis,43.2,2.47,1.05
Meridian Electronics,SKU-00478,Engine Components,33.4,2.35,2.07
Orion Chassis Works,SKU-00320,Exhaust Systems,38.2,2.32,2.25
IronClad Metal Works,SKU-00443,Electrical Systems,55.7,15.55,2.52
Summit Casting Group,SKU-00130,Suspension,38.5,3.07,2.5
IronClad Metal Works,SKU-00442,Transmission Parts,55.4,19.21,2.67
Summit Casting Group,SKU-00038,Fasteners,43.8,2.74,3.05
Orion Chassis Works,SKU-00119,Brake Systems,37.2,1.87,2.35
Silverline Plastics,SKU-00272,Engine Components,50.0,1.68,2.14
Meridian Electronics,SKU-00027,Body & Chassis,43.9,0.28,2.02
Crestline Components,SKU-00447,Transmission Parts,43.1,2.34,3.33
Falcon Wiring Harness,SKU-00452,Sensors,30.4,1.68,0.11
EverTrust Powertrain,SKU-00282,Body & Chassis,39.2,2.1,1.79
BlueRidge Rubber & Seals,SKU-00160,Exhaust Systems,58.3,3.36,2.26
Meridian Electronics,SKU-00052,Electrical Systems,40.6,3.53,2.18
BlueRidge Rubber & Seals,SKU-00322,Electrical Systems,35.2,0.78,1.85
Vanguard Brake Systems,SKU-00280,Engine Components,54.1,4.78,2.25
EverTrust Powertrain,SKU-00396,Fasteners,35.8,1.32,2.64
Atlas Suspension Ltd,SKU-00314,Brake Systems,23.8,3.05,2.85
Orion Chassis Works,SKU-00067,Sensors,50.2,2.28,2.65
Apex Drivetrain Solutions,SKU-00064,Sensors,186.8,8.67,3.68
Atlas Suspension Ltd,SKU-00407,Body & Chassis,40.8,3.28,0.27
Silverline Plastics,SKU-00083,Electrical Systems,60.3,3.97,2.22
BlueRidge Rubber & Seals,SKU-00489,Exhaust Systems,51.7,3.06,1.69
Horizon Interior Trim,SKU-00056,Engine Components,51.6,1.69,1.71
EverTrust Powertrain,SKU-00379,Transmission Parts,58.5,3.47,1.63
Silverline Plastics,SKU-00508,Brake Systems,36.2,1.85,2.79
Vanguard Brake Systems,SKU-00230,Electrical Systems,33.0,2.86,2.8
Crestline Components,SKU-00030,Body & Chassis,43.9,3.51,1.96
Titan Forge Industries,SKU-00456,Interior Trim,42.4,1.52,3.01
Orion Chassis Works,SKU-00098,Suspension,35.8,2.85,2.14
Vanguard Brake Systems,SKU-00275,Body & Chassis,32.4,1.89,3.31
Meridian Electronics,SKU-00512,Exhaust Systems,47.4,1.49,2.44
Silverline Plastics,SKU-00388,Fasteners,43.2,5.95,2.43
Silverline Plastics,SKU-00025,Exhaust Systems,40.4,3.92,0.73
Cobalt Hydraulics,SKU-00427,Fasteners,46.1,4.49,2.11
EverTrust Powertrain,SKU-00084,Fasteners,24.2,2.1,3.36
Falcon Wiring Harness,SKU-00390,Electrical Systems,49.5,1.66,1.65
Granite Bearing Co,SKU-00323,Suspension,38.3,2.86,3.27
Granite Bearing Co,SKU-00150,Engine Components,57.6,2.96,1.13
Titan Forge Industries,SKU-00221,Electrical Systems,29.1,3.03,1.12
Horizon Interior Trim,SKU-00062,Exhaust Systems,42.3,2.8,1.29
Meridian Electronics,SKU-00514,Fasteners,32.7,2.41,2.6
Orion Chassis Works,SKU-00124,Body & Chassis,57.7,3.11,2.26
Summit Casting Group,SKU-00161,Sensors,36.0,1.43,1.79
Meridian Electronics,SKU-00262,Electrical Systems,49.9,2.84,0.52
BlueRidge Rubber & Seals,SKU-00350,Electrical Systems,35.6,3.7,2.26
Atlas Suspension Ltd,SKU-00263,Brake Systems,28.0,4.86,2.18
Meridian Electronics,SKU-00263,Brake Systems,49.6,2.9,1.91
Cobalt Hydraulics,SKU-00303,Engine Components,36.3,4.62,3.0
Silverline Plastics,SKU-00447,Transmission Parts,54.9,3.08,1.4
Pinnacle Fasteners Co,SKU-00206,Brake Systems,60.3,1.66,14.41
Apex Drivetrain Solutions,SKU-00433,Fasteners,114.4,4.88,2.45
Vanguard Brake Systems,SKU-00410,Engine Components,35.3,0.51,2.63
Cobalt Hydraulics,SKU-00500,Body & Chassis,70.4,3.89,1.99
Cobalt Hydraulics,SKU-00475,Suspension,45.1,3.39,3.1
IronClad Metal Works,SKU-00416,Suspension,40.9,16.15,2.44
Granite Bearing Co,SKU-00129,Interior Trim,51.6,2.37,2.1
IronClad Metal Works,SKU-00403,Transmission Parts,61.6,21.44,2.58
Quantum Sensor Corp,SKU-00383,Sensors,65.6,2.11,3.5
EverTrust Powertrain,SKU-00151,Fasteners,51.5,5.77,1.25
Pinnacle Fasteners Co,SKU-00353,Brake Systems,36.7,2.92,14.77
IronClad Metal Works,SKU-00132,Interior Trim,68.4,12.99,2.92
Atlas Suspension Ltd,SKU-00273,Electrical Systems,58.9,3.2,1.43
BlueRidge Rubber & Seals,SKU-00415,Engine Components,61.9,3.73,2.68
EverTrust Powertrain,SKU-00099,Suspension,47.5,2.73,2.14
EverTrust Powertrain,SKU-00176,Body & Chassis,52.7,2.53,1.52
Volt Precision Parts,SKU-00414,Electrical Systems,252.3,1.75,2.38
IronClad Metal Works,SKU-00236,Exhaust Systems,44.7,16.97,2.6
Granite Bearing Co,SKU-00500,Body & Chassis,37.5,3.97,1.99
Meridian Electronics,SKU-00005,Body & Chassis,39.8,2.98,0.73
Silverline Plastics,SKU-00376,Engine Components,35.5,3.48,0.81
Orion Chassis Works,SKU-00424,Interior Trim,58.4,4.01,1.9
IronClad Metal Works,SKU-00478,Engine Components,48.5,21.04,1.83
Cobalt Hydraulics,SKU-00082,Body & Chassis,55.4,1.83,1.82
Pinnacle Fasteners Co,SKU-00512,Exhaust Systems,35.4,2.84,17.21
Atlas Suspension Ltd,SKU-00204,Suspension,42.8,1.23,1.33
Crestline Components,SKU-00184,Suspension,49.7,4.34,2.51
NorthStar Exhaust Systems,SKU-00185,Body & Chassis,40.4,3.27,2.01
Orion Chassis Works,SKU-00332,Transmission Parts,40.5,1.54,3.33
Orion Chassis Works,SKU-00343,Suspension,14.5,3.3,1.83
EverTrust Powertrain,SKU-00247,Exhaust Systems,40.1,4.19,1.63
EverTrust Powertrain,SKU-00037,Fasteners,36.8,2.37,2.53
NorthStar Exhaust Systems,SKU-00514,Fasteners,39.7,0.93,1.51
Volt Precision Parts,SKU-00116,Interior Trim,380.5,2.57,2.56
Falcon Wiring Harness,SKU-00049,Suspension,41.9,1.84,3.54
EverTrust Powertrain,SKU-00311,Suspension,42.7,2.06,3.08
Vanguard Brake Systems,SKU-00215,Exhaust Systems,36.3,1.91,2.21
Horizon Interior Trim,SKU-00321,Transmission Parts,45.0,2.76,3.87
Atlas Suspension Ltd,SKU-00456,Interior Trim,49.0,0.12,2.46
Volt Precision Parts,SKU-00051,Exhaust Systems,312.1,2.54,2.4
Orion Chassis Works,SKU-00148,Brake Systems,44.7,2.45,2.69
Vanguard Brake Systems,SKU-00269,Suspension,38.5,1.55,4.62
Granite Bearing Co,SKU-00410,Engine Components,36.4,2.6,1.0
Cobalt Hydraulics,SKU-00313,Electrical Systems,46.4,1.57,1.85
Cobalt Hydraulics,SKU-00200,Sensors,57.5,2.97,2.65
Atlas Suspension Ltd,SKU-00318,Exhaust Systems,23.7,4.34,1.25
Vanguard Brake Systems,SKU-00510,Brake Systems,63.3,3.52,2.66
Granite Bearing Co,SKU-00250,Engine Components,34.7,2.65,1.82
Cobalt Hydraulics,SKU-00460,Electrical Systems,45.3,2.25,0.57
Titan Forge Industries,SKU-00406,Interior Trim,58.5,2.42,1.81
Silverline Plastics,SKU-00157,Electrical Systems,38.3,2.86,1.48
IronClad Metal Works,SKU-00130,Suspension,17.9,17.83,2.62
Silverline Plastics,SKU-00401,Sensors,42.6,1.35,2.27
Volt Precision Parts,SKU-00108,Suspension,229.5,1.47,1.6
IronClad Metal Works,SKU-00176,Body & Chassis,55.1,14.37,1.84
NorthStar Exhaust Systems,SKU-00123,Suspension,68.5,2.85,2.47
Volt Precision Parts,SKU-00316,Suspension,289.7,1.9,0.45
Volt Precision Parts,SKU-00153,Sensors,363.3,2.95,2.06
Apex Drivetrain Solutions,SKU-00343,Suspension,174.5,13.21,0.96
Horizon Interior Trim,SKU-00487,Transmission Parts,37.9,1.36,3.62
Granite Bearing Co,SKU-00432,Exhaust Systems,55.5,0.3,0.99
Apex Drivetrain Solutions,SKU-00493,Exhaust Systems,174.7,9.58,1.14
Orion Chassis Works,SKU-00013,Exhaust Systems,68.3,2.81,2.58
Cobalt Hydraulics,SKU-00237,Suspension,36.7,3.22,1.9
Pinnacle Fasteners Co,SKU-00115,Interior Trim,41.6,3.11,8.29
IronClad Metal Works,SKU-00478,Engine Components,64.2,16.82,3.22
Silverline Plastics,SKU-00371,Transmission Parts,32.1,1.58,1.27
Cobalt Hydraulics,SKU-00167,Transmission Parts,48.0,2.57,1.83
Crestline Components,SKU-00294,Transmission Parts,32.8,1.23,2.16
Cobalt Hydraulics,SKU-00315,Brake Systems,39.4,1.81,3.44
Volt Precision Parts,SKU-00258,Electrical Systems,305.5,3.77,1.77
Quantum Sensor Corp,SKU-00247,Exhaust Systems,47.9,2.44,0.84
Falcon Wiring Harness,SKU-00029,Interior Trim,62.1,2.36,2.8
Meridian Electronics,SKU-00236,Exhaust Systems,36.0,2.34,1.51
Granite Bearing Co,SKU-00182,Electrical Systems,59.8,2.81,2.49
NorthStar Exhaust Systems,SKU-00426,Electrical Systems,61.3,3.66,2.81
Granite Bearing Co,SKU-00450,Brake Systems,27.9,1.8,1.4
Titan Forge Industries,SKU-00391,Exhaust Systems,53.7,2.67,1.09
Quantum Sensor Corp,SKU-00017,Interior Trim,42.7,1.01,2.16
Meridian Electronics,SKU-00438,Sensors,25.1,3.03,2.5
Meridian Electronics,SKU-00207,Exhaust Systems,67.9,3.35,1.86
Granite Bearing Co,SKU-00217,Engine Components,54.8,1.1,1.43
IronClad Metal Works,SKU-00492,Fasteners,49.0,6.29,2.17
Volt Precision Parts,SKU-00451,Sensors,253.9,2.6,1.34
Pinnacle Fasteners Co,SKU-00027,Body & Chassis,50.1,2.52,17.98
Pinnacle Fasteners Co,SKU-00188,Transmission Parts,45.1,1.73,12.71
Cobalt Hydraulics,SKU-00390,Electrical Systems,28.9,2.91,2.67
Atlas Suspension Ltd,SKU-00281,Brake Systems,74.6,1.88,1.99
EverTrust Powertrain,SKU-00134,Interior Trim,38.1,2.71,2.51
IronClad Metal Works,SKU-00273,Electrical Systems,44.4,20.89,1.71
Orion Chassis Works,SKU-00451,Sensors,56.8,3.04,2.19
Horizon Interior Trim,SKU-00117,Engine Components,41.2,4.93,1.55
Quantum Sensor Corp,SKU-00388,Fasteners,48.6,1.75,3.63
Silverline Plastics,SKU-00383,Sensors,55.6,1.82,2.61
EverTrust Powertrain,SKU-00461,Exhaust Systems,48.1,1.98,2.81
Silverline Plastics,SKU-00155,Body & Chassis,49.7,2.72,2.17
Pinnacle Fasteners Co,SKU-00113,Interior Trim,50.2,2.73,13.69
Meridian Electronics,SKU-00285,Body & Chassis,37.3,4.19,1.36
Orion Chassis Works,SKU-00277,Body & Chassis,50.1,2.18,3.61
Summit Casting Group,SKU-00213,Exhaust Systems,34.2,1.76,1.42
Falcon Wiring Harness,SKU-00406,Interior Trim,48.9,1.13,1.82
Crestline Components,SKU-00416,Suspension,19.2,2.74,1.8
Crestline Components,SKU-00128,Exhaust Systems,27.1,3.59,1.15
Cobalt Hydraulics,SKU-00414,Electrical Systems,54.6,1.8,3.48
Falcon Wiring Harness,SKU-00120,Electrical Systems,54.0,1.49,1.47
Apex Drivetrain Solutions,SKU-00212,Exhaust Systems,204.2,10.21,2.06
Volt Precision Parts,SKU-00015,Exhaust Systems,380.0,1.75,2.27
BlueRidge Rubber & Seals,SKU-00178,Electrical Systems,56.5,3.31,2.07
Titan Forge Industries,SKU-00499,Sensors,41.5,0.76,1.36
Meridian Electronics,SKU-00231,Body & Chassis,48.8,2.36,2.26
Atlas Suspension Ltd,SKU-00370,Exhaust Systems,57.5,1.31,2.01
Granite Bearing Co,SKU-00057,Interior Trim,47.3,1.8,3.35
Cobalt Hydraulics,SKU-00331,Interior Trim,55.9,2.79,3.64
Crestline Components,SKU-00194,Transmission Parts,27.0,2.49,2.49
Quantum Sensor Corp,SKU-00387,Engine Components,34.0,2.8,1.31
Meridian Electronics,SKU-00483,Brake Systems,53.3,3.56,2.42
NorthStar Exhaust Systems,SKU-00277,Body & Chassis,22.8,1.53,2.65
Vanguard Brake Systems,SKU-00054,Body & Chassis,45.3,0.0,3.19
Crestline Components,SKU-00248,Body & Chassis,46.6,1.68,3.0
Orion Chassis Works,SKU-00065,Body & Chassis,36.9,1.81,2.49
Volt Precision Parts,SKU-00234,Exhaust Systems,408.0,4.12,2.49
Apex Drivetrain Solutions,SKU-00032,Brake Systems,198.5,13.37,1.19
Meridian Electronics,SKU-00334,Fasteners,52.7,1.77,2.45
Silverline Plastics,SKU-00162,Suspension,42.3,3.0,2.29
Orion Chassis Works,SKU-00105,Exhaust Systems,8.1,2.68,2.71
Pinnacle Fasteners Co,SKU-00009,Brake Systems,50.4,2.4,18.75
Silverline Plastics,SKU-00462,Electrical Systems,48.7,2.94,3.04
Titan Forge Industries,SKU-00436,Electrical Systems,49.4,1.6,0.25
Titan Forge Industries,SKU-00423,Exhaust Systems,39.3,3.26,1.92
EverTrust Powertrain,SKU-00031,Body & Chassis,54.6,2.65,3.23
Volt Precision Parts,SKU-00182,Electrical Systems,293.8,2.97,2.6
Meridian Electronics,SKU-00506,Body & Chassis,63.0,0.79,1.83
BlueRidge Rubber & Seals,SKU-00301,Transmission Parts,55.2,4.05,2.39
Meridian Electronics,SKU-00067,Sensors,41.5,3.26,2.89
Orion Chassis Works,SKU-00074,Electrical Systems,40.7,2.83,3.14
Meridian Electronics,SKU-00137,Suspension,67.7,3.24,2.24
Volt Precision Parts,SKU-00506,Body & Chassis,307.0,3.06,2.11
Meridian Electronics,SKU-00089,Exhaust Systems,47.3,1.44,3.24
Atlas Suspension Ltd,SKU-00470,Sensors,31.3,2.07,2.28
Pinnacle Fasteners Co,SKU-00353,Brake Systems,68.9,2.08,11.37
IronClad Metal Works,SKU-00480,Electrical Systems,38.4,23.47,0.0
Silverline Plastics,SKU-00430,Exhaust Systems,33.0,5.23,2.67
Vanguard Brake Systems,SKU-00173,Exhaust Systems,31.7,2.46,2.25
Quantum Sensor Corp,SKU-00431,Engine Components,55.2,4.34,2.51
Volt Precision Parts,SKU-00088,Transmission Parts,280.3,3.29,1.64
Quantum Sensor Corp,SKU-00152,Brake Systems,32.6,0.74,0.95
Meridian Electronics,SKU-00111,Brake Systems,34.2,1.32,2.45
BlueRidge Rubber & Seals,SKU-00070,Body & Chassis,30.6,0.0,1.36
Meridian Electronics,SKU-00047,Body & Chassis,39.3,1.89,3.42
Silverline Plastics,SKU-00098,Suspension,37.6,3.38,2.18
EverTrust Powertrain,SKU-00063,Transmission Parts,44.5,1.66,2.15
Volt Precision Parts,SKU-00198,Electrical Systems,267.9,2.67,2.01
Volt Precision Parts,SKU-00038,Fasteners,258.0,3.49,2.54
IronClad Metal Works,SKU-00032,Brake Systems,39.6,16.65,2.13
BlueRidge Rubber & Seals,SKU-00515,Sensors,34.6,2.57,1.7
IronClad Metal Works,SKU-00046,Sensors,33.7,8.7,1.91
Silverline Plastics,SKU-00039,Brake Systems,51.8,1.81,4.22
Granite Bearing Co,SKU-00016,Exhaust Systems,55.6,3.8,2.84
Cobalt Hydraulics,SKU-00069,Engine Components,67.2,1.71,0.15
NorthStar Exhaust Systems,SKU-00275,Body & Chassis,39.6,3.06,2.32
EverTrust Powertrain,SKU-00431,Engine Components,48.3,3.82,2.51
Volt Precision Parts,SKU-00383,Sensors,353.9,1.56,1.32
Atlas Suspension Ltd,SKU-00302,Fasteners,64.4,2.6,1.7
Vanguard Brake Systems,SKU-00045,Engine Components,37.5,1.85,1.63
EverTrust Powertrain,SKU-00403,Transmission Parts,29.6,1.0,2.04
BlueRidge Rubber & Seals,SKU-00020,Body & Chassis,37.9,3.61,2.43
Cobalt Hydraulics,SKU-00329,Electrical Systems,48.2,1.76,2.1
Pinnacle Fasteners Co,SKU-00213,Exhaust Systems,49.3,3.22,13.2
EverTrust Powertrain,SKU-00459,Fasteners,57.9,2.51,2.83
NorthStar Exhaust Systems,SKU-00160,Exhaust Systems,39.1,0.69,2.41
Titan Forge Industries,SKU-00333,Transmission Parts,53.7,3.08,2.54
EverTrust Powertrain,SKU-00229,Interior Trim,40.8,1.69,2.64
Quantum Sensor Corp,SKU-00272,Engine Components,50.1,1.94,3.09
Atlas Suspension Ltd,SKU-00489,Exhaust Systems,34.4,1.92,3.51
BlueRidge Rubber & Seals,SKU-00371,Transmission Parts,55.4,2.14,2.43
IronClad Metal Works,SKU-00216,Brake Systems,46.9,3.64,1.47
Vanguard Brake Systems,SKU-00233,Engine Components,44.4,2.14,2.4
Pinnacle Fasteners Co,SKU-00367,Body & Chassis,58.6,2.18,10.12
Volt Precision Parts,SKU-00180,Interior Trim,327.9,2.17,2.08
Silverline Plastics,SKU-00088,Transmission Parts,41.5,4.74,0.41
BlueRidge Rubber & Seals,SKU-00244,Suspension,40.3,2.5,1.58
